Cell_ID,Cell_Type,Disease_Status,Gene_E_Housekeeping,Gene_A_Oncogene,Gene_B_Immune,Gene_C_Stromal,Gene_D_Therapy,Pathway_Score_Inflam,UMAP_1
C0027,Fibroblast,Healthy_Control,5.502935336622543,6.789954613896302,2.5219449436767607,14.15092557164397,2.6092562860461523,2.9214310284195912,11.02686037732961
C0028,T_Cell,Tumor,5.3611627794914085,3.353130633723469,14.051701568208724,2.8838986948537855,0.6063806486597962,11.791453615788978,7.420853897462662
C0029,Cancer,Tumor,5.209840265780797,14.681207404945624,1.279853293491026,2.251790750593757,9.993516260216612,5.727598546183277,1.7630467902023024
C0030,T_Cell,Tumor,4.8914187072735285,4.537094435980796,10.496830033747806,3.6710562926866936,1.8342307275195502,9.945803032710621,5.474043087018131
C0031,T_Cell,Tumor,5.910696271781253,3.9565133794744174,11.282198495354976,3.2847040117052346,1.9628731165288453,10.476154379149705,7.144708792992476
C0032,T_Cell,Tumor,5.086010424362827,3.0120369898577217,11.480629163607118,3.6862416338295567,2.4191852023430505,7.743556506741742,8.026181090413724
C0033,Cancer,Tumor,4.726074148892944,15.877653641223468,3.201557504182309,2.2693480264219477,9.488486571577681,6.132331500587194,0.67793748621988
C0034,Fibroblast,Tumor,5.426822146988985,3.107292714221599,2.2753713418450996,13.689430984387991,2.3270236488569678,2.2688538573881334,10.113913687285002
C0035,Cancer,Tumor,5.0230872049827475,12.872713419255915,2.8350608667957964,4.351004409854791,10.812706345142598,5.903816364187491,0.9887558300265141
C0036,Cancer,Tumor,5.151848286234644,15.1494094171563,2.662709429527629,2.0040414015161354,9.557910480707315,5.9243282650864355,1.1681051068077912
C0037,Fibroblast,Tumor,5.077033595437313,3.9486533853600685,5.455187826055896,15.387391317417235,2.4246193436352192,5.930259466859637,11.466999798949628
C0038,Cancer,Tumor,5.2279371752471295,16.129020736191357,2.191623713198384,3.6039661802652163,9.3574708110885,4.880163675071719,2.4244482831416083
C0039,Cancer,Tumor,4.512541045576525,13.66114032340392,1.6481077445471586,4.396803375174484,10.451900116961227,4.69294928127124,2.4080265071662685
C0040,T_Cell,Tumor,4.304723606761195,2.9576977933393205,13.092481463891406,2.161555414926467,1.6587166352081142,12.115758582941954,7.457763088338484
C0041,Cancer,Tumor,5.7403455865209505,14.137803675092586,2.2573393409581732,4.156821496144429,12.836863664380195,6.353900909720422,0.38623945935325654
C0042,Cancer,Tumor,5.100604911359082,13.184005425777194,2.762618004218478,1.9134514736301895,9.8996186057844,5.605237072166118,0.3833736906263072
C0043,Cancer,Tumor,5.37283552458595,12.98892382092517,2.3075540309503246,2.4134813381377938,8.923752325640946,5.216706971579509,2.0139261623860163
C0044,Cancer,Tumor,4.174206989840162,15.06452714717202,3.6154420073286024,3.6146446587113714,9.469772022196839,6.697590994355095,0.3891090998146831
C0045,T_Cell,Tumor,5.533750646640434,7.278133889688857,10.821849769291319,3.019822017413352,2.5206459204160643,10.338360268266856,7.388748449636749
C0046,T_Cell,Tumor,4.7229984013060475,3.425015419248347,10.147211692279987,3.3413002226504154,1.3422704306110544,8.389570012891397,7.194247687325626
C0047,Fibroblast,Tumor,4.590740777152621,2.6298685691760326,4.334092598529187,16.294889115186823,2.830187704079644,3.7096260999872586,10.67557737945436
C0048,Cancer,Tumor,4.943834221245548,13.542533897515305,3.0840981650319232,3.3238765248915687,10.909977639504616,6.9735899397230146,-0.28246753731891516
C0049,Fibroblast,Tumor,4.512755332806124,4.514264975749564,4.031363817343171,14.194569832876226,4.105610129103919,4.991644404346817,11.141247243428886
C0050,T_Cell,Tumor,4.974326615495478,4.1119727638375085,13.287213582493154,3.23793229184116,1.4005785028845708,9.893968828394176,7.35829975178947
C0051,T_Cell,Tumor,4.907981774925656,5.7759069121391144,11.113728932431064,3.2061176476063866,1.6184148560179108,13.311400244605572,6.610725267456098
C0052,Fibroblast,Healthy_Control,5.530281204218994,4.76719103129121,2.90264809097534,12.38944683577487,2.93691768033711,2.9375386113868043,10.235645177602306
C0053,Cancer,Tumor,5.785882488524611,12.50994650262932,3.353409252278023,3.743108112416498,11.400163047773125,7.139030907661535,1.7053346801123015
C0054,Fibroblast,Tumor,5.767541693948115,3.131657977446092,2.7477467135874365,17.709564147460185,1.9916107850522067,1.5302081636501135,9.98341355314793
C0055,Cancer,Tumor,3.9692387741584274,12.269659752359741,2.5718101225618795,3.4092234668822057,10.198545343479948,7.9323596520265,1.931802304556062
C0056,Fibroblast,Tumor,4.532069134617714,5.673016210980459,2.655365696623425,13.02883785543458,2.8977301812177396,4.633485565039766,11.739090037385084
C0057,T_Cell,Tumor,3.9651343255107316,1.8184415450940286,13.045650264416171,4.841811194771581,1.127113083211233,11.555761344249799,5.627902738921186
C0058,Cancer,Tumor,4.416755159495208,12.35136779592855,2.616554890725506,4.656067600078592,11.252738850634088,5.530321213166362,1.130304256170377
C0059,Fibroblast,Tumor,4.663062549733669,3.110730985651901,3.4582484133330653,13.83268043773787,3.9250905741734567,1.0,10.96586196586315
C0060,T_Cell,Tumor,5.18316990760612,4.595412442729423,12.185250555364592,2.987360700104667,3.6891233414571403,13.621056778009613,6.9864200584084255
C0061,Cancer,Tumor,4.7237298381944175,13.099635311300517,2.081242612416782,4.848735818018238,11.174595161197553,6.875420580791416,0.8847048930563548
C0062,Cancer,Tumor,4.736877178741026,13.280595146921604,3.139140909665309,3.4470138440188047,9.855487922276192,6.01327259694572,0.5646165542135463
C0063,Cancer,Tumor,5.06621514275722,13.304123661207122,1.7271806693529719,4.489849147705462,10.479862616189383,6.090862624047517,1.1779020780823724
C0064,Cancer,Tumor,4.195266268258759,13.987563568602198,3.242142535634521,2.51949588518871,10.169719091037887,4.824061071666342,1.9508826821273142
C0065,Cancer,Tumor,4.57593913005837,12.405564205529569,3.8006887276320525,2.7226290812551532,9.120177146564135,3.90239920055749,1.8993346275905718
C0066,T_Cell,Healthy_Control,4.731452776422076,2.6562951114391393,13.095689184057495,3.419487232773861,0.8636393578272052,11.298110275950192,7.407891291037692
C0067,T_Cell,Healthy_Control,4.875744820084492,6.891131485969134,11.089021191312186,2.193293710733742,2.2081996358309066,9.742277855336676,7.8756928792201055
C0068,T_Cell,Tumor,5.013523749321558,4.333910446556198,11.391450904887373,2.926704090255128,1.9365824584968645,9.689423262558972,6.266861574988058
C0069,T_Cell,Tumor,5.778560377859464,4.935569987493858,12.12095038134435,2.1611170953290846,1.5516357828233787,11.0983864918134,6.735416450055199
C0070,Cancer,Tumor,5.4470299721704665,13.824987257085564,2.4386637401038582,1.9782434418984147,9.761985365706334,4.31751091029444,1.370614185552623
C0071,T_Cell,Healthy_Control,4.607673368229422,3.5595057064711915,10.521706437587987,7.458058617212927,4.054542433947043,9.36493145648669,4.982263135316834
C0072,Fibroblast,Tumor,4.847168993335123,4.42081192555598,2.387152494574247,12.702494985380216,1.4027663881367307,1.5797421869532684,11.156969383780398
C0073,Fibroblast,Tumor,4.814348597185087,4.876544176192289,3.117038891853446,12.782898834049314,3.5030632524411476,5.475302878556278,10.9792333984546
C0074,T_Cell,Healthy_Control,4.726454488772577,5.090657851113902,13.024674687596216,3.4005468506855387,2.7412072962251415,11.796430699734891,6.204551465776543
C0075,Cancer,Tumor,5.112285513808313,13.577265409893906,4.9245703081860235,2.3238727318371737,10.896381685334108,8.80417366533727,2.1099050353139233
C0076,Cancer,Tumor,4.132767316348744,15.296542624782063,2.9638503115123993,2.8009227398147405,8.8194389618681,4.301183280696084,2.0656725873684785
C0077,Fibroblast,Tumor,5.432042378570295,1.5310046156174817,3.42058670799997,16.102762314057966,2.587685275132047,4.080407199886392,11.27988017965005
C0078,Fibroblast,Tumor,5.890828891734215,5.176708937568775,3.887614152053325,13.730622096779314,2.546068327794808,6.908939539670356,9.803819424972012
C0079,Fibroblast,Tumor,4.843055339759438,3.2080158788082307,1.4627746683950666,14.59941590681148,3.1289846112273905,2.3090406804159365,10.318893902130023
C0080,Fibroblast,Tumor,4.833632504725478,4.577885077173389,2.0443947481907667,15.59454273213968,1.9725645849352023,3.7920929848684817,11.212824839708658
C0081,T_Cell,Tumor,5.053737769621573,2.95935866680415,11.942392389546079,3.551672595872124,2.2180742776381925,10.084594665561571,6.6241308608526595
C0082,T_Cell,Tumor,5.507704165217406,2.314672552454051,13.716092534104781,3.075400471016978,1.1355906229120505,12.230207226957376,6.838420693112632
C0083,Cancer,Tumor,4.816820256483563,14.236462364739499,3.4915573161561775,2.0527495573934593,9.58400285791624,9.465958331282364,0.729193407232524
C0084,T_Cell,Tumor,5.460962376155559,2.1724361230285067,12.167523853253455,2.9140549020986746,3.404059047189782,13.755136689868689,7.134334728902439
C0085,Fibroblast,Tumor,5.223620519930996,3.2398575666794884,2.642930911362521,13.13622619167612,3.7407611953701974,3.5620728421686403,12.053353408497781
C0086,Cancer,Tumor,6.296769129073591,12.789353530004796,3.268941892738483,2.529611738988401,9.96277229176075,4.922437805950556,1.7266170653092137
C0087,Fibroblast,Tumor,4.8147218149364726,3.5149167200161946,2.3451085212197635,15.54188402302544,1.811245312049301,3.8655222652188383,11.679871806327577
C0088,T_Cell,Tumor,4.085132013313654,5.00121797565981,11.209585686144369,4.781106041269885,2.170281298129007,8.611569772782437,7.614329102695379
C0089,Fibroblast,Tumor,4.312531739630229,3.135605728703808,2.2727933789508565,14.598588641699564,3.2402068389704386,1.822288707748352,10.749266649617075
C0090,Fibroblast,Tumor,4.981109237725334,4.198025640090532,4.3975287680881205,13.185005196835789,1.4397609667318467,4.0121509596236455,10.870107069605496
C0091,Cancer,Tumor,5.512373918094674,14.897341656401569,2.1666717184948876,2.3462184610408725,10.189343507405102,9.264302170773291,2.5294920757387036
C0092,T_Cell,Healthy_Control,4.661671536068631,3.0048684538486783,11.500502823350772,5.154742881952752,1.0070151822556817,12.244926530909215,7.512777324725142
C0093,Fibroblast,Tumor,4.861888411606616,3.0207163173473117,3.3161978709282387,13.702449375022022,1.7606314041427829,5.391613011770029,11.672609457553857
C0094,T_Cell,Healthy_Control,5.326938757520972,6.154657381169869,11.138768774782895,4.284142410100699,0.9773249341481007,11.988570259482577,7.116622343346982
C0095,T_Cell,Tumor,4.518497362808672,3.6390009484330443,12.062841925548495,4.0699692793789275,0.5,9.379359554756274,6.725630601681738
C0096,Cancer,Tumor,4.680887844066175,14.505002365144748,3.0624843223040705,3.6720454730543564,9.49336284161545,7.155813824821033,1.310825730100502
C0097,Fibroblast,Tumor,4.428143577305012,4.492636495307083,2.3238811432370046,16.448306088937493,2.053663640265933,5.963772285138805,11.964096203379698
C0098,Fibroblast,Tumor,5.595667200818272,2.425298671674707,2.616751917777979,12.65922227316831,4.121253968144316,3.4922962918194536,10.999432842695084
C0099,Cancer,Tumor,5.802255282123871,12.842006194941678,2.095210273389875,2.986802305015223,9.532946543019335,7.073991269891467,2.373354363770428
C0100,T_Cell,Healthy_Control,4.24997872611389,4.291591492061377,13.458302032073071,5.721988381343347,1.2530418907694516,9.63937730313758,7.983594897644205
C0101,Fibroblast,Tumor,4.905119973890385,1.7693630722015532,3.094248776925702,13.402638324111974,1.6969901227721949,4.089021680559495,11.644426365315665
C0102,Cancer,Tumor,5.724978091964353,13.468982193783525,2.024960085455817,3.17468973289404,9.476953975376317,4.079163100454171,2.0625526752165393
C0103,Cancer,Tumor,5.177038257895807,12.736385314999508,2.9651688451296203,3.043008170034602,11.416077586720679,5.861697657319103,2.687833174163337
C0104,T_Cell,Tumor,4.738214966486546,5.603128677094408,12.00906761482079,4.152275315922134,3.7029064712475943,13.421240128027623,6.408071296163774
C0105,T_Cell,Tumor,4.264099390477753,4.246326334679002,10.374091005721702,3.0671690705392027,1.5282817045261599,10.093915251379256,6.711401023273049
C0106,Cancer,Tumor,5.581572333513308,15.769655529384693,4.3974752880212105,2.9544938773321343,9.78255651431967,9.47140076396336,0.6184490314184403
C0107,T_Cell,Tumor,5.157358989023607,3.6925391046652107,11.064137197927593,4.129515469477952,2.575443463650812,9.681600380953128,5.9517885698613515
C0108,Cancer,Tumor,4.29533853687117,13.593744289327073,5.609158817205056,3.4153597744852195,9.040201897030105,5.6764307403012495,1.468979216901924
C0109,Cancer,Tumor,5.602180966230208,13.353141637616353,3.6842895882476836,2.364738625533229,10.208253522949185,5.55044968074025,1.6880000558747732
C0110,T_Cell,Tumor,4.241090115826943,3.120600736908218,10.974215607322622,3.3463380533543265,5.135891805668412,10.735917105173748,7.3537521265990184
C0111,Fibroblast,Healthy_Control,4.8669572956583185,9.91772743831666,2.570058156101865,15.27034989702543,3.6483773917680504,5.533435322002108,10.511902649590347
C0112,Cancer,Tumor,4.84558060660598,15.019319956973314,3.8397500960222857,4.2730505444820635,10.610799430685013,10.071248471410286,1.2108639302179927
C0113,Fibroblast,Tumor,5.846823144273388,2.544063876588664,2.63467330913892,15.491774559907885,4.40228689073091,3.06086258395509,11.59271734552794
C0114,Fibroblast,Tumor,4.84730576502438,9.755924210629948,4.171932845162374,12.59450335565726,3.8163478163787135,4.9251171250503525,9.977645052575085
C0115,Cancer,Tumor,4.845567080987238,13.233632005779349,2.519001987163775,4.730269943416766,9.621819886370833,5.94655427795721,1.5088732046205664
C0116,Fibroblast,Tumor,4.342689465095547,4.208048959681759,2.7742983240456063,12.667103408164202,1.940563058222053,4.978594758529427,11.914158979912997
C0117,Cancer,Tumor,4.667306866002137,15.266313632454747,3.8742183768066716,2.1953525024409317,9.725360757617606,5.0436256372273744,1.3140773048463383
C0118,Cancer,Tumor,4.585670924981928,12.143922613345286,3.4617991191129347,2.533168202168638,9.077531471933941,6.931087985124055,1.2051868988722254
C0119,T_Cell,Tumor,4.609552527517457,2.774321360558368,11.107726384719031,3.4590783262057396,1.5972060655596922,7.827736850863827,7.869983801780446
C0120,T_Cell,Tumor,4.978305822238045,6.809730310101114,12.276651729395764,4.664066544629935,1.1449823709133713,12.108310358734643,6.0103864469175985
C0121,Fibroblast,Tumor,3.902628803567979,3.4519975274525034,3.0050207996170313,13.671786435302085,2.5077417582201376,4.529281797698172,10.437180023059756
C0122,T_Cell,Tumor,4.279410423502081,5.3803764463590715,11.11697859859263,3.145876824696999,0.7573480087311899,11.335506370561196,6.4640759641403145
C0123,Cancer,Tumor,4.920393293593093,13.177254658400056,1.812293456604036,2.34686028352974,9.272515442386887,7.413593948374016,1.9859503747925773
C0124,T_Cell,Healthy_Control,5.035727804340178,3.6183740898056906,10.520468803053049,4.188462865094185,2.246438951288902,9.877983264103975,5.877160326391996
C0125,T_Cell,Tumor,4.860675943897652,7.156925849030477,11.586651233866801,4.565107153620078,2.52363796505705,12.186771857361034,7.863531908105678
C0126,Fibroblast,Tumor,4.954981537684811,4.389463416295996,2.796592953492339,13.656965765598404,3.2839906993516226,4.376944331571663,10.981372028007884
C0127,T_Cell,Tumor,4.776236123608064,3.3049388826952617,12.352527228913532,2.331181253836539,1.519072704068828,9.418916544926677,7.732056981053585
C0128,Cancer,Tumor,4.96601092947523,12.923047221049629,3.7145350703245303,4.335329029090416,9.963729818959564,6.657324116769048,2.3685775482743
C0129,Cancer,Tumor,5.195376094732205,13.02167866053133,2.488291700877884,4.984471239201501,12.349107660937413,2.2086544278474967,0.9500804314230461
C0130,Cancer,Tumor,5.1917452430566025,15.875921555040321,2.7703333776073777,5.519374194435503,9.252368568339792,7.544364396154427,1.5128363821599577
C0131,Fibroblast,Healthy_Control,4.644753108402116,4.944020521732003,2.2247759042746647,12.861297934727613,4.791664464782712,1.0,10.840349530659282
C0132,T_Cell,Tumor,5.450703474268629,2.4690697854409924,11.92779329643427,3.8291650613851274,0.7811613182480572,11.556599364440764,6.954188290264093
C0133,T_Cell,Tumor,5.053770258711888,3.8656461864146623,12.897374105819974,2.770403401165153,0.6343670635832419,13.957560494288783,6.601280239996886
C0134,T_Cell,Healthy_Control,5.625882060922083,3.6556339994525753,11.941037098073219,2.434398615386265,1.7131911855518456,11.397610042717028,7.7799159542130205
C0135,Cancer,Tumor,5.739623979634413,14.200333607562293,4.1517882009160125,5.612497107075101,9.811664226444208,8.561145033507188,1.3697573709085873
C0136,Cancer,Tumor,4.308323356038361,13.00888651148917,3.876270766202364,3.9964497046466585,8.971780965674956,8.810990554706217,1.2661087133237843
C0137,Cancer,Tumor,4.566621230133136,15.577374873096446,4.56806782352119,5.094514806489081,9.557689382683773,7.675418217619945,2.2864827207664487
C0138,T_Cell,Tumor,5.395769703464471,3.7434976692445656,11.967975153307801,2.20089822662823,2.243390010951638,8.788688090939505,7.58532066522387
C0139,T_Cell,Tumor,4.2138953813246305,4.288617892523966,11.394343319340221,3.6449592203005294,1.0740370164458644,10.27307898299858,7.201281739333148
C0140,Fibroblast,Tumor,5.732359977338399,2.8175618606008173,3.4819064979231804,13.922181237977497,3.9578060192619624,2.486406478194114,10.725328694069482
C0141,Fibroblast,Healthy_Control,4.807417489736891,2.8695219059417294,2.5215918429834634,12.508699661792154,4.100674718700357,2.993273084191562,12.025227479138389
C0142,T_Cell,Tumor,5.2689076590587005,9.820551614156152,12.446618664371705,5.436867551082556,3.263399732000793,13.285567510270464,6.260205522046612
C0143,Fibroblast,Tumor,4.917757440551993,7.195511175282747,2.2951330579141374,13.050612985448502,2.119614431743598,3.2774327955856704,11.750668212642038
C0144,Fibroblast,Tumor,4.330010723978188,3.6518373210631263,2.1750190382662575,13.851352306597878,2.210993732658651,1.7649879788708744,11.438517157963457
C0145,Fibroblast,Tumor,5.527605615805183,6.53112812658144,4.223996401968492,12.755916511009438,2.690746507804458,2.1073381686692714,10.113517789279367
C0146,Cancer,Tumor,6.545979663416736,15.814809268147666,2.048806881268966,2.2233299667125945,9.605342272847881,6.130264529086143,1.551733625776073
C0147,Fibroblast,Tumor,4.7260510407381675,2.98536058182255,3.9659536636906005,14.488801042833256,2.5605323796049406,3.4131005397138687,10.075479002165368
C0148,Fibroblast,Tumor,4.81775016310015,2.8793018731675604,3.442346948653622,13.756795709842349,3.6373146874515734,3.068760625050765,10.756468989951243
C0149,Fibroblast,Tumor,3.8198513345760685,4.773397429431598,2.934509583051832,13.5833108352745,3.471115740489887,4.877080162607868,11.196111501676436
C0150,Cancer,Tumor,5.6932256157340815,14.115824432616396,1.539708406037751,3.0175894078062364,9.142673801841559,8.414427143237667,0.7899875431270487
C0151,T_Cell,Tumor,5.4488935210058465,3.2371237899259904,13.609716476842094,3.722832312780554,0.9650519763638257,11.32359123481465,5.356554204630669
C0152,Fibroblast,Tumor,4.1852036940022375,4.865259099206444,2.1011603973543123,15.049688532187455,1.9035828256847749,3.7195859814068184,10.910572412476734
C0153,Cancer,Tumor,4.04907169870892,12.21946855885853,3.8779973660454616,2.635906853679709,9.139551147724776,7.14929706018757,1.6501892999944758
C0154,Fibroblast,Tumor,4.096054955685441,3.9048571851512595,2.274266515540946,13.990732098583033,3.7453001347293036,4.692845164624041,10.736117161776788
C0155,Cancer,Tumor,5.305899077537025,12.389551667178887,2.21580987541635,3.5420248362940123,9.98158664389932,4.1218464392248215,1.4892273799346758
C0156,T_Cell,Healthy_Control,5.358995995241497,2.418267677850625,12.535872326871045,3.113394731240679,2.843779195431522,9.342240659046102,6.8742696726127015
C0157,Cancer,Tumor,4.537421703713509,12.898340032072666,3.389606810575666,1.9128679672575648,8.63905174084453,5.3440197690290425,0.7876328341657457
C0158,Fibroblast,Tumor,5.229232964964142,4.272858456162395,1.96254393773224,13.297600551953868,3.110155818494582,1.0,12.362982611476623
C0159,T_Cell,Healthy_Control,5.0546618371833265,2.9316763306188784,13.537125958271599,4.143129719564758,2.097260627495241,11.640196278915319,7.2218912858231255
C0160,Fibroblast,Healthy_Control,4.796215165673094,2.407661868939757,2.6619290904317845,13.688418653252075,4.201941862162224,1.2728687980432447,10.701919126270829
C0161,T_Cell,Tumor,5.480745794024724,4.453191186109928,11.91044439633986,2.049454011981924,1.4921444152049852,11.241079411362012,6.422651206971828
C0162,T_Cell,Tumor,4.411738370030547,6.436449820077396,11.584424259098146,5.0174992150887325,1.4355780647876801,7.609856211622502,6.721704882930485
C0163,Cancer,Tumor,5.578563618078202,14.72203244910158,1.9896977733632473,5.734901117965907,11.641005365749312,5.92285425320737,1.2445278721768664
C0164,Cancer,Tumor,4.626458821275238,17.199998673445013,3.6131523960889727,3.1921329253276554,9.692371354587417,7.6662656959613145,1.5267070612232696
C0165,T_Cell,Tumor,5.942758546930979,6.244267735121772,12.126512340216932,7.153852379213707,2.014617138771279,10.757046255095709,7.8023443587909025
C0166,T_Cell,Tumor,4.50047127427061,3.1383560949883815,11.191546041823,2.510898886747597,2.3218942764646084,11.39205113403428,6.436801106427929
C0167,Cancer,Tumor,4.803731247943945,14.710586362304435,3.8666594976438358,2.1664839856020595,8.656306305839514,6.299590277944415,1.6244068405677807
C0168,Fibroblast,Tumor,5.004346790113927,3.6228772372242917,2.897162210115123,12.360505199186617,2.884274773571595,3.8601903717603756,11.559746371107524
C0169,Fibroblast,Tumor,5.00121854892909,5.505603954371782,2.917489435311455,13.592745069997937,1.8998391950132814,3.0379266997167798,10.528306786935445
C0170,Cancer,Tumor,5.224836733403686,13.622639695692598,5.066130385967725,1.8300331550255933,9.766237702560016,10.628257752135333,1.0242829631662533
C0171,Fibroblast,Tumor,4.376346292143507,2.8134703025498857,1.6887469465604232,12.98482812733677,2.586533967381349,1.9895992259537667,9.943626563142258
C0172,Fibroblast,Healthy_Control,4.956702911389772,6.163766135208192,1.681524529444195,18.806608514628312,2.414683723623746,4.208061427632076,12.176847657714978
C0173,T_Cell,Tumor,5.044212621298692,4.202928776772996,10.809044442448023,2.0054206199658036,2.4880592778307213,10.822651458205787,7.355547887295857
C0174,Cancer,Tumor,4.7200535708512925,12.944152623693803,3.2026057549997664,2.7588110792861644,9.937463172896317,8.163773555365239,1.1007335466800672
C0175,Fibroblast,Healthy_Control,5.179808764844693,3.1255207816384387,2.532961198244681,12.34384463265825,2.016918153572889,3.183150081761199,10.570420243186469
C0176,T_Cell,Tumor,4.3499334107443355,2.9373353152721027,11.599172830449227,3.01090849400062,0.9948195271705287,8.184347517660505,6.278032484458429
C0177,Fibroblast,Healthy_Control,4.815782439459033,2.604231891586743,2.0959992438485897,12.947996577698373,3.7383297620915465,3.122541556815171,11.109970255423079
C0178,T_Cell,Tumor,4.61509114493812,3.1496611221779136,13.886423674809349,2.648457320482641,1.811362902260957,12.469745243649294,6.760494559571776
C0179,Cancer,Tumor,4.817234830059712,14.287971882089002,5.449087418955443,3.142707933813671,8.792621516940386,4.091394339351952,0.8578303752075859
C0180,T_Cell,Tumor,5.747738542955222,3.8333657414383864,12.810307982341758,4.0889524052242825,1.4861628621048464,8.890370448211529,6.459783446544405
C0181,Cancer,Tumor,5.758883840560705,13.194880728862646,1.7448662141284925,5.254235289386343,9.704251690916891,6.413269214589456,2.008002341043518
C0182,Fibroblast,Tumor,5.647361798626749,6.4428978733456095,2.4299940144757692,13.011301642503325,1.9067682882823387,6.007456315776317,10.732995726775414
C0183,T_Cell,Tumor,4.750984983648933,1.8061182746819695,12.72296351689387,3.3172023181916095,1.3144952492202209,10.596156666230296,6.140361841339426
C0184,Fibroblast,Tumor,5.446639924741239,4.185190645343954,2.804025749945152,13.863724416717591,3.833817536016744,4.712625723940656,11.045275531656179
C0185,Cancer,Tumor,5.031262870578478,13.556306361626316,3.8144112697130246,2.1928761293889094,13.385613396902146,7.282160834624222,1.0196305417588492
C0186,Cancer,Tumor,4.99786280099938,12.634222112756508,4.267226027565008,3.1465383246354777,10.13984688238654,7.258658565839363,1.9522507390184354
C0187,Cancer,Tumor,4.936940703261203,14.27466769567862,5.285642167961336,2.7973184789381915,8.833360327728416,8.296145888228425,2.5548593177563497
C0188,Fibroblast,Healthy_Control,5.929069540689298,3.4583649240853225,2.3010544749980406,14.547351298791723,2.65191406085274,2.9994367850300967,9.643786418904474
